Date, Cityname, Citycode, Provincename, Number,weekday,month,day
2020-03-31, Oldambt,1895, Groningen,1,Tuesday,3,31
2020-03-31, Peel and Maas,1894, Limburg,103,Tuesday,3,31
2020-03-31, Zuidplas,1892, South Holland,9,Tuesday,3,31
2020-03-31, Kaag and Braassem,1884, South Holland,4,Tuesday,3,31
2020-03-31, Sittard-Geleen,1883, Limburg,24,Tuesday,3,31
2020-03-31, Bronckhorst,1876, Gelderland,1,Tuesday,3,31
2020-03-31, Berkelland,1859, Gelderland,1,Tuesday,3,31
2020-03-31, Midden-Delfland,1842, South Holland,1,Tuesday,3,31
2020-03-31, Westland,1783, South Holland,25,Tuesday,3,31
2020-03-31, Dinkelland,1774, Overijssel,11,Tuesday,3,31
2020-03-31, Olst-Wijhe,1773, Overijssel,5,Tuesday,3,31
2020-03-31, Leidschendam-Voorburg,1916, South Holland,7,Tuesday,3,31
2020-03-31, Goeree-Overflakkee,1924, South Holland,24,Tuesday,3,31
2020-03-31, Pijnacker-Nootdorp,1926, South Holland,9,Tuesday,3,31
2020-03-31, Nissewaard,1930, South Holland,19,Tuesday,3,31
2020-03-31, Molenlanden,1978, South Holland,9,Tuesday,3,31
2020-03-31, Noardeast-Fryslân,1970, Friesland,4,Tuesday,3,31
2020-03-31, Westerkwartier,1969, Groningen,9,Tuesday,3,31
2020-03-31, Het Hogeland,1966, Groningen,4,Tuesday,3,31
2020-03-31, Hoeksche Waard,1963, South Holland,29,Tuesday,3,31
2020-03-31, Vijfheerenlanden,1961, Utrecht,11,Tuesday,3,31
2020-03-31, West Betuwe,1960, Gelderland,12,Tuesday,3,31
2020-03-31, Altena,1959, North Brabant,17,Tuesday,3,31
2020-03-31, Geldrop-Mierlo,1771, North Brabant,9,Tuesday,3,31
2020-03-31, Montferland,1955, Gelderland,3,Tuesday,3,31
2020-03-31, Central Groningen,1952, Groningen,4,Tuesday,3,31
2020-03-31, Westerwolde,1950, Groningen,4,Tuesday,3,31
2020-03-31, Waadhoeke,1949, Friesland,2,Tuesday,3,31
2020-03-31, Meierijstad,1948, North Brabant,110,Tuesday,3,31
2020-03-31, Berg en Dal,1945, Gelderland,15,Tuesday,3,31
2020-03-31, Gooise Meren,1942, North Holland,10,Tuesday,3,31
2020-03-31, De Fryske Marren,1940, Friesland,11,Tuesday,3,31
2020-03-31, Krimpenerwaard,1931, South Holland,22,Tuesday,3,31
2020-03-31, Beekdaelen,1954, Limburg,12,Tuesday,3,31
2020-03-31, Oude IJsselstreek,1509, Gelderland,2,Tuesday,3,31
2020-03-31, Rijssen-Holten,1742, Overijssel,8,Tuesday,3,31
2020-03-31, Hof van Twente,1735, Overijssel,8,Tuesday,3,31
2020-03-31, Cuijk,1684, North Brabant,5,Tuesday,3,31
2020-03-31, Borger-Odoorn,1681, Drenthe,1,Tuesday,3,31
2020-03-31, Aa and Hunze,1680, Drenthe,1,Tuesday,3,31
2020-03-31, Schouwen-Duiveland,1676, Zeeland,6,Tuesday,3,31
2020-03-31, Roosendaal,1674, North Brabant,11,Tuesday,3,31
2020-03-31, Roerdalen,1669, Limburg,13,Tuesday,3,31
2020-03-31, Reusel-De Mierden,1667, North Brabant,1,Tuesday,3,31
